en,fr
am i approved?,m’approuve-t-on ?
i got bored.,j'ai commencé à m'ennuyer.
i did ok.,je m'en suis bien sorti.
anyone home?,quiconque est-il à la maison ?
i can't move.,je ne peux pas bouger.
excuse me.,excusez-moi.
i'm freezing.,je suis gelé.
i'll stop.,j'arrêterai.
i want mary.,je veux mary.
i need a job.,j'ai besoin d'un emploi.
i never lose.,je ne perds jamais.
she is sharp.,elle est tranchante.
let me die.,laissez-moi mourir.
let's bounce.,rebondissons !
i am sorry.,je suis désolé.
he cracked up.,il a disjoncté.
you're fine.,tu vas bien.
after you.,après vous.
i'll be back.,je reviendrai.
stay in bed.,reste au lit !
i'll grab it.,je l'attraperai.
forget tom.,oublie tom.
"beat it, kids!","dégagez, les gamins !"
it'll happen.,ça arrivera.
lighten up.,relaxe !
you're bossy.,tu fais le chef.
i'm right.,j'ai raison.
ignore him.,ne faites pas attention à lui.
we could die.,nous pourrions mourir.
it was flat.,elle était plate.
wait a sec.,attendez une seconde !
they're mine.,ils sont miens.
will it fit?,cela s'adaptera-t-il ?
don't mock me.,ne te moque pas de moi.
what a team!,quelle équipe !
we lost.,nous avons été battus.
here she is!,la voilà !
he is ill.,il est malade.
i'm ready.,je suis prêt.
here i am.,me voici.
i like you.,je t'aime bien.
they're safe.,ils vont bien.
is it to go?,ça doit partir ?
be punctual.,soyez ponctuelle !
he squinted.,il loucha.
it matters.,c'est important.
i'm retired.,je suis retraitée.
i feel old.,je me sens vieux.
i feel dizzy.,je me sens drôle.
this is bad.,ce n'est pas bon.
you're silly.,vous êtes idiots.
we need you.,nous avons besoin de vous.
we're fine.,nous allons bien.
i am busy.,je suis occupé.
i tried it.,je l'ai essayé.
we're losing.,nous perdons.
hang on tight.,accroche-toi bien !
i'm fair.,j'ai le teint clair.
wish me luck.,souhaite-moi chance !
i saw him.,je l’ai vu.
i'm selfish.,je suis égoïste.
try it again.,essaie à nouveau.
you're early.,vous êtes matinale.
come here.,venez là.
am i dying?,suis-je en train de mourir ?
watch us.,regardez-nous !
don't get fat.,ne deviens pas gras.
come quickly!,viens vite !
we're all ok.,nous allons tous bien.
i'm shooting.,je tire.
you may swim.,vous pouvez nager.
we are here.,nous sommes ici.
i'm cold.,j'ai froid.
go home.,rentrez à la maison.
i'm broke.,je suis fauché.
good job!,bien joué !
i have food.,je dispose de nourriture.
run for it!,prenez vos jambes à votre cou !
don't push me.,ne me poussez pas !
tom's bored.,tom s'ennuie.
open up.,ouvre-moi !
i lost a bet.,j'ai perdu un pari.
i'm starved.,j'ai les crocs.
keep working.,continue à travailler !
be serious.,sois sérieux !
i'll hurry.,je me dépêcherai.
here's a pen.,voilà un stylo.
can you stay?,pouvez-vous rester ?
i'm fasting.,je fais la diète.
we're shaken.,nous sommes remuées.
make a wish.,fais un souhait !
that's funny.,c'est drôle.
go now.,vas-y maintenant.
they're back.,elles sont de retour.
tom listens.,tom écoute.
tom drowned.,tom s'est noyé.
you're shy.,tu es timide.
he chuckled.,il a gloussé.
let's go now.,allons-y maintenant.
we did that.,on a fait ça.
i'm sober.,je suis sobre.
i'll decide.,j'en déciderai.
i have to go.,il me faut partir.
i need you.,j'ai besoin de vous.
have a seat.,prenez place.
"hey, wait up!","hé, un moment !"
well done!,bien vu !
what a mess!,quel bordel !
i'm cooking.,je cuisine.
i'll work.,je vais travailler.
i'm offended.,je suis offensée.
go away.,pars !
i'm famous.,je suis connue.
you are big.,vous êtes grand.
nobody came.,personne ne vint.
we're pooped.,nous sommes crevées.
you start.,tu commences.
what a heel!,quel malandrin !
let's do it!,on s'y met !
be creative.,sois créative !
is that tom?,est-ce tom ?
now drink up.,"videz votre verre, maintenant !"
i built it.,je l'ai construite.
let me go.,laissez-moi m'en aller !
tom's here.,tom est là.
i've won.,je l'ai emporté.
we talked.,nous avons discuté.
are they cops?,sont-ils des flics ?
go away!,pars !
is tom drunk?,tom est-il saoul ?
i want more.,je veux davantage.
time flies.,le temps s'enfuit.
watch out!,attention !
break it down.,démontez-moi ça.
who cares?,qui s'en soucie ?
i'm hit!,je suis touchée !
no problem!,pas de problème !
i snore.,je ronfle.
i love jokes.,j'adore les plaisanteries.
what a loser!,quel raté !
let me go!,laissez-moi partir !
i'm clean.,je suis propre.
try some.,essaies-en !
i'm trapped.,je suis piégée.
"beef, please.","du bœuf, s'il vous plaît."
stop crying.,arrêtez de pleurer !
it's a waste.,il s'agit d'un gaspillage.
they lost.,ils ont perdu.
tom cooks.,tom cuisine.
grab that.,saisis-toi de ça !
she is sharp.,elle est affûtée.
check it out!,vérifiez !
